TotalTime(s),TimeStdDev(%),CPUUtil(%),CPUStdDev(%),MaxRSS(KB)
1.6607,2.78%,0.350,0.42%,17440
1.6639,5.36%,0.272,0.58%,17120
1.8201,2.08%,0.309,0.54%,17440
1.590,7.18%,0.278,0.21%,17440
1.581,6.44%,0.282,0.17%,16956
2.674,12.05%,0.393,1.70%,18212
2.13213,0.40%,0.516,0.32%,18076
1.87886,0.12%,0.453,0.12%,17916
2.009,6.89%,0.420,0.08%,17916
1.90111,0.34%,0.453,0.13%,17920
7.76,24.12%,0.630,0.87%,24656
6.04481,0.08%,0.830,0.08%,25032
7.48,19.40%,0.655,0.79%,24980
7.5814,0.60%,0.861,0.57%,25224
19.109,1.75%,0.366,0.28%,25028
